 -0.28;   0.96;   0.12;   2.26;  -6.53;   5.68
 -0.28;   0.98;   0.11;   0.67; -13.24;   1.28
 -0.26;   0.96;   0.06;   0.43; -10.74;  10.68
 -0.29;   0.99;   0.15;   7.81;  -4.39;   6.41
 -0.27;   0.97;   0.12;   8.97;  11.54;   2.20
 -0.26;   0.95;  -0.01;  18.37;  48.28;   8.85
 -0.03;   1.04;   0.11;   0.73; -57.74;   3.91
 -0.26;   1.00;  -0.00;   5.86; -83.74;   6.04
 -0.27;   0.98;   0.09;   5.19; -15.62;   6.59
 -0.27;   0.96;   0.06;   4.46; -12.27;   5.49
 -0.26;   0.95;   0.06;   6.77;  -8.73;   9.58
 -0.26;   0.99;   0.06;   4.76;  -7.39;   9.09
 -0.24;   0.98;   0.04;   4.58;  -7.45;  10.13
 -0.25;   0.97;   0.07;   5.43;  -9.40;  11.54
 -0.24;   0.94;   0.08;   4.94; -10.56;  22.16
 -0.21;   0.94;   0.07;   5.55;  -7.93;  34.55
 -0.19;   0.90;   0.08;  10.74; -19.53;  51.82
 -0.04;   0.77;   0.07;  16.85;  -4.21;  74.83
  0.13;   0.83;   0.03;  11.17;   6.47;  91.00
  0.32;   0.86;   0.03;   7.26;   4.76;  76.97
  0.45;   0.88;   0.06;   0.98;   6.47;  64.82
  0.50;   0.93;   0.06;  -1.65;   3.36;  51.76
  0.55;   0.92;   0.10;  -0.61; -15.56;  29.91
  0.62;   0.87;   0.09;   2.69; -15.87;  13.31
  0.69;   0.89;   0.10;   9.22;  -9.64;  -6.16
  0.69;   0.92;   0.05;  10.56; -13.24; -20.57
  0.61;   0.93;   0.06;  10.07;  -5.74; -34.67
  0.43;   0.88;   0.05;   2.93;  -2.81; -43.46
  0.34;   0.99;   0.06;   5.00;   7.69; -41.14
  0.14;   1.06;   0.09;   7.08;   4.82; -28.69
  0.07;   0.97;   0.07;   9.22; -14.47; -45.84
 -0.04;   0.98;   0.09;  10.99;  -8.73; -37.35
 -0.08;   0.94;   0.04;  14.10; -10.74; -34.36
 -0.14;   1.03;   0.03;  11.96; -17.58; -18.86
 -0.17;   0.95;  -0.00;  11.23; -17.76;  -6.84
 -0.16;   0.98;   0.00;  11.35; -19.59;   2.56
 -0.10;   0.97;   0.02;   8.18; -11.35;   7.81
 -0.13;   0.99;   0.01;   6.10;  -3.97;  12.76
 -0.09;   1.00;  -0.02;   4.52;  -3.48;  14.89
 -0.05;   0.99;   0.01;   4.33;  -8.67;  11.29
 -0.03;   0.99;  -0.01;   3.36;  -9.83;  14.89
 -0.02;   1.00;   0.02;   2.75; -10.62;  14.22
 -0.03;   1.01;   0.01;   2.01;  -9.46;  15.20
 -0.00;   1.00;   0.03;   1.65;  -7.26;  14.71
  0.03;   0.99;   0.02;   0.67;  -6.84;  13.12
  0.01;   1.00;   0.02;   0.79;  -8.30;  13.18
  0.04;   1.00;   0.05;   1.59;  -6.47;  14.53
  0.04;   1.00;   0.05;   3.30;  -9.22;   9.58
  0.04;   0.99;   0.06;   3.66;  -6.65;   9.70
  0.05;   0.98;   0.05;   4.21;  -9.34;   6.47
