  0.24;   0.97;  -0.04;   6.84; -10.31;   6.41
  0.25;   1.00;  -0.03;  13.92; -40.65;   9.22
  0.26;   0.91;  -0.05;  -2.38;  -1.40; -11.90
  0.20;   0.98;  -0.06;  -1.10;   4.39;   4.64
  0.21;   0.98;  -0.04;   2.01;  -8.12;   5.25
  0.21;   0.96;  -0.02;   3.36; -11.29;   7.32
  0.21;   0.97;  -0.04;   5.68; -10.99;   3.72
  0.20;   0.97;  -0.04;   5.55; -14.65;   8.48
  0.21;   0.97;  -0.06;   5.31; -12.70;   7.87
  0.21;   0.95;  -0.03;   5.43; -11.90;   3.36
  0.19;   0.93;  -0.05;   5.55;  -9.89;  -5.25
  0.17;   0.93;  -0.06;   6.16;  -9.03; -21.48
  0.13;   0.93;  -0.05;   7.39; -12.39; -38.76
  0.03;   0.92;  -0.05;   7.51; -18.74; -50.78
 -0.11;   0.90;  -0.09;  -4.33; -10.25; -34.42
 -0.16;   0.94;  -0.03;   1.65;  -9.34; -30.58
 -0.24;   0.83;   0.00; -12.45;  -8.79; -38.45
 -0.30;   0.89;   0.02;   8.18;  -8.67; -23.32
 -0.36;   0.93;  -0.02;   9.95;  -4.33; -23.68
 -0.47;   1.01;  -0.05;  14.22;   4.09; -25.45
 -0.48;   0.97;  -0.06;   6.96; -10.50;  11.29
 -0.44;   0.93;  -0.07;  -4.09; -11.17;  24.35
 -0.49;   0.97;  -0.12;  -6.90;  17.82;  28.20
 -0.41;   1.05;   0.01;  -0.55;  19.90;  16.54
 -0.26;   1.06;   0.02;   0.79; -23.62;  54.69
 -0.07;   1.07;   0.03;  -4.76; -12.63;  36.25
 -0.03;   0.96;   0.10; -10.07;  -8.85;  51.51
  0.07;   0.98;   0.03;  -7.45; -13.55;  32.90
  0.10;   0.97;   0.03;  10.93; -19.35;  22.58
  0.08;   0.95;  -0.04;  19.78; -30.33;  17.88
  0.06;   0.99;  -0.03;  18.55;  -0.85;  -4.58
  0.03;   0.96;   0.02;   6.96;  -3.05;   2.56
 -0.01;   1.01;  -0.02;  -0.92; -12.82;  -0.85
 -0.02;   0.99;   0.00;   8.42; -14.83;   4.88
 -0.03;   0.98;  -0.04;   7.02;  -8.00;  -3.78
 -0.05;   1.01;   0.00;   2.50;  -4.82;  -3.23
 -0.06;   1.00;  -0.02;   3.54; -10.86;   0.67
 -0.08;   1.00;  -0.02;   5.13;  -7.14;   2.14
 -0.06;   1.00;  -0.02;   7.02;   2.50;   4.15
 -0.04;   0.98;  -0.04;   5.00;  -3.78;  12.15
 -0.04;   0.99;  -0.01;   6.90;  -7.39;   2.01
 -0.06;   1.00;  -0.03;   5.92; -10.38;   4.82
 -0.06;   1.00;  -0.02;   6.59;  -9.28;   4.58
 -0.08;   0.98;  -0.01;   9.09;  -9.46;   6.84
 -0.06;   0.98;  -0.05;   5.00; -10.19;   4.88
 -0.08;   1.00;  -0.03;   4.46; -11.41;   4.03
 -0.06;   0.97;  -0.05;   4.58;  -7.45;   8.06
 -0.07;   0.98;  -0.04;   4.94;  -7.45;   5.62
 -0.05;   1.00;  -0.02;   4.46;  -7.69;   3.72
 -0.07;   0.98;  -0.04;   3.36; -10.19;   7.32
