  0.07;   0.95;  -0.11;   1.65; -24.96;   6.59
  0.08;   0.97;  -0.15;   2.20; -17.76;   5.86
  0.07;   1.01;  -0.13;   8.18;  -6.77;  -4.09
  0.05;   0.99;  -0.14;   9.77; -11.41;   0.24
  0.05;   0.97;  -0.10;   6.96;  -5.62;  -6.59
  0.03;   0.96;  -0.13;   9.40; -11.66;  -9.95
  0.00;   0.94;  -0.11;   9.03; -21.48; -16.78
 -0.04;   0.94;  -0.11;  10.56; -26.92; -29.66
 -0.10;   0.96;  -0.14;  15.01; -26.18; -36.80
 -0.21;   0.94;  -0.16;  14.22; -28.02; -37.29
 -0.32;   0.92;  -0.17;  14.47; -24.48; -41.20
 -0.47;   0.97;  -0.19;  21.73; -13.98; -43.15
 -0.66;   0.95;  -0.26;  11.66; -17.03; -23.56
 -0.69;   0.96;  -0.28;   6.65;  -2.44;   3.30
 -0.64;   0.98;  -0.26;   0.18;   0.55;  23.01
 -0.51;   0.94;  -0.26;  -6.65;   2.44;  43.95
 -0.40;   0.86;  -0.20;  -8.00;   2.56;  65.80
 -0.28;   0.83;  -0.19;  -5.86;   9.40;  81.12
 -0.14;   0.81;  -0.12;  -4.76;  15.08;  91.37
  0.01;   0.76;  -0.08;  -5.13;  16.30;  89.36
  0.14;   0.81;  -0.10;  -1.04;  17.27;  61.04
  0.26;   0.91;  -0.14;   1.83;   2.38;  43.40
  0.33;   0.84;  -0.10;  -1.28;  -4.33;  40.16
  0.38;   0.89;  -0.08;   0.98;  -5.68;  23.86
  0.39;   0.90;  -0.10;   5.25;  -8.67;  20.08
  0.40;   0.87;  -0.09;   6.96; -12.08;  10.68
  0.42;   0.90;  -0.11;   2.93; -14.53;   8.12
  0.43;   0.90;  -0.12;   0.61; -13.79;  11.54
  0.42;   0.87;  -0.09;   3.05; -13.00;   8.48
  0.41;   0.90;  -0.08;   2.93; -13.43;  10.25
  0.40;   0.87;  -0.11;   4.09; -14.65;  10.44
  0.43;   0.88;  -0.10;   5.62; -10.68;   6.84
  0.42;   0.88;  -0.09;   6.16;  -8.00;   4.88
  0.43;   0.89;  -0.10;   6.47; -10.56;   3.97
  0.43;   0.88;  -0.09;   5.13; -13.85;   5.55
  0.43;   0.89;  -0.11;   5.74; -11.11;   5.98
  0.43;   0.87;  -0.10;   5.74; -11.05;   6.41
  0.42;   0.88;  -0.12;   6.29; -10.07;   6.23
  0.41;   0.88;  -0.11;   6.77;  -8.12;   4.64
  0.41;   0.88;  -0.11;   7.02;  -9.40;   2.20
  0.41;   0.89;  -0.10;   6.77; -10.25;   3.54
  0.42;   0.89;  -0.12;   5.13; -11.35;   5.31
  0.40;   0.87;  -0.12;   5.86; -12.63;   5.92
  0.40;   0.88;  -0.12;   5.80; -13.49;   4.27
  0.40;   0.90;  -0.13;   4.15; -13.12;   5.74
  0.39;   0.86;  -0.13;   5.43; -11.54;   3.72
  0.38;   0.91;  -0.13;   4.15; -10.13;   2.26
  0.38;   0.90;  -0.11;   1.95; -11.41;   3.48
  0.37;   0.89;  -0.12;   3.91; -13.79;   4.52
  0.38;   0.90;  -0.13;   6.71; -12.94;   7.57
