  0.02;   0.93;  -0.28;  18.49; -22.40;   9.64
  0.02;   0.92;  -0.32;  14.65; -15.81;   5.92
  0.03;   0.96;  -0.32; -12.15;  -0.67;   5.37
  0.02;   0.94;  -0.24; -14.47;  -3.60;  12.15
  0.03;   0.95;  -0.21;  -2.93;  -1.16;   3.91
  0.04;   0.95;  -0.23;   2.14;  -6.10;   1.83
  0.01;   0.97;  -0.18;   3.97;  -7.63;   3.23
  0.03;   0.93;  -0.21;   5.37;  -9.46;   1.16
  0.02;   0.95;  -0.21;   4.03;  -9.16;  -1.59
  0.00;   0.95;  -0.20;   5.19; -10.25;  -3.36
 -0.01;   0.93;  -0.23;   5.00; -13.00;  -5.62
 -0.02;   0.92;  -0.21;   5.68;  -8.54; -15.44
 -0.04;   0.95;  -0.21;   7.14;  -2.99; -22.52
 -0.09;   0.92;  -0.21;   8.54; -15.20; -30.52
 -0.18;   0.91;  -0.21;   8.30; -25.76; -33.63
 -0.25;   0.90;  -0.20;  10.01; -23.19; -29.17
 -0.34;   0.89;  -0.23;  10.80; -25.15; -31.92
 -0.48;   0.91;  -0.27;  16.60; -24.84; -40.41
 -0.60;   0.89;  -0.25;  17.15; -16.36; -27.22
 -0.65;   0.81;  -0.24;  10.68; -15.14; -12.15
 -0.68;   0.86;  -0.29;   9.40;  -8.00;   2.81
 -0.63;   0.84;  -0.31;   7.81;  -2.14;  15.75
 -0.57;   0.80;  -0.29;   7.39;  -5.37;  24.11
 -0.51;   0.74;  -0.26;   1.46;   2.56;  25.02
 -0.48;   0.85;  -0.28;   0.98;   3.23;  32.29
 -0.43;   0.87;  -0.32;  -2.75;  12.63;  43.09
 -0.37;   0.91;  -0.32;  -4.88;   6.77;  44.01
 -0.30;   0.92;  -0.32;   0.31;  12.21;  44.80
 -0.18;   0.85;  -0.21;  -8.79;  23.86;  45.47
 -0.09;   0.91;  -0.24; -17.88;   7.87;  55.79
 -0.00;   0.83;  -0.21;  -4.27;  -5.25;  56.09
  0.06;   0.80;  -0.19;   7.81;   1.83;  49.99
  0.17;   0.89;  -0.19;   4.09;   6.23;  44.13
  0.27;   0.86;  -0.19;   1.10;  -3.97;  45.35
  0.28;   0.84;  -0.19;  17.33;   6.71; -15.69
  0.24;   0.94;  -0.18;   1.77;  14.10;  20.32
  0.32;   0.91;  -0.15;  -1.04;  -6.23;  28.38
  0.35;   0.89;  -0.16;  -5.43; -23.62;  29.11
  0.34;   0.89;  -0.21;  -1.89; -10.62;   6.96
  0.35;   0.91;  -0.20;  -1.83;  -0.12;   1.28
  0.34;   0.91;  -0.15;   6.90;   3.72;   6.41
  0.37;   0.89;  -0.15;   6.04;  -3.42;   8.36
  0.36;   0.90;  -0.13;   3.36;  -6.59;   8.24
  0.35;   0.90;  -0.12;   1.10;  -5.49;   5.55
  0.35;   0.90;  -0.13;   4.52; -13.43;   6.41
  0.37;   0.90;  -0.14;   5.07;  -5.13;   3.97
  0.36;   0.91;  -0.10;  -0.43;  19.17;   3.78
  0.38;   0.91;  -0.03;  -1.71;  21.61;   6.04
  0.38;   0.91;  -0.07;   5.43;   2.81;   2.75
  0.38;   0.90;  -0.07;   4.88;   2.08;   4.64
